City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,port mathurin,-19.6833,63.4167,80.51,76,54,14.32,MU,1713243741
83,saskatoon,52.1168,-106.6345,52.16,47,100,19.57,CA,1713243827
84,enewetak,11.3474,162.3373,81.73,79,30,16.22,MH,1713244000
85,cabo san lucas,22.8909,-109.9124,74.75,66,100,11.21,MX,1713243910
86,howrah,22.5892,88.3103,96.8,52,3,5.75,IN,1713243924
87,sainte-marie,-20.8968,55.5496,80.73,85,75,13.8,RE,1713244001
88,holualoa,19.6228,-155.9522,71.44,91,100,0.0,US,1713244001
89,sibolga,1.7427,98.7792,87.57,67,98,4.47,ID,1713243861
90,chelak,39.9203,66.8611,56.16,76,59,1.68,UZ,1713244001
91,tadine,-21.55,167.8833,76.26,63,0,15.61,NC,1713243768
92,ketchikan,55.3422,-131.6461,46.38,61,0,4.61,US,1713244001
93,arar,30.9753,41.0381,60.82,67,0,4.61,SA,1713243737
94,viedma,-40.8135,-62.9967,62.37,99,100,5.79,AR,1713244001
95,vila velha,-20.3297,-40.2925,72.95,96,99,7.07,BR,1713244001
96,kruisfontein,-34.0033,24.7314,62.89,97,21,4.72,ZA,1713244001
97,langsa,4.4683,97.9683,96.21,44,64,3.91,ID,1713243854
98,fale old settlement,-9.3852,-171.2468,82.33,78,100,5.01,TK,1713244001
99,san patricio,28.017,-97.5169,75.29,86,100,16.75,US,1713243746
100,iskateley,67.6803,53.1512,18.01,95,100,15.99,RU,1713243736
101,mount gambier,-37.8333,140.7667,63.43,51,75,7.92,AU,1713243739
102,leamington,42.0549,-82.6062,49.87,41,0,1.99,CA,1713244002
103,crane,31.3974,-102.3501,73.81,8,24,12.28,US,1713244002
104,yellowknife,62.456,-114.3525,29.41,80,83,3.0,CA,1713244002
105,malango,-2.9627,119.9001,76.14,77,100,2.15,ID,1713244002
106,plettenberg bay,-34.0527,23.3716,62.28,87,0,4.18,ZA,1713244002
107,buala,-8.145,159.5921,80.67,86,100,8.7,SB,1713244002
108,bilibino,68.0546,166.4372,5.13,78,100,3.36,RU,1713244002
109,port lincoln,-34.7333,135.8667,64.9,60,2,9.89,AU,1713244002
110,susuman,62.7833,148.1667,13.98,65,95,3.0,RU,1713244002
111,lazaro cardenas,17.9583,-102.2,74.46,85,91,2.59,MX,1713244002
112,yanta,36.2411,115.6672,77.07,17,56,7.05,CN,1713244003
113,la'ie,21.6477,-157.9253,76.44,73,0,1.01,US,1713244003
114,kapuskasing,49.4169,-82.4331,35.69,64,100,8.05,CA,1713243750
115,coquimbo,-29.9533,-71.3436,60.31,80,0,5.53,CL,1713244003
116,atafu village,-8.5421,-172.5159,80.33,85,100,8.23,TK,1713243745
117,pourham,14.35,-16.4167,78.46,11,0,10.71,SN,1713244003
118,nova sintra,14.8667,-24.7167,72.97,85,28,16.58,CV,1713244003
119,arkhangel'sk,64.5401,40.5433,37.13,100,75,11.18,RU,1713244003
120,west island,-12.1568,96.8225,85.98,79,40,19.57,CC,1713243746
121,devils lake,48.1128,-98.8651,46.38,63,100,23.02,US,1713243836
122,dudinka,69.4058,86.1778,-2.33,94,100,8.99,RU,1713243908
123,broome,42.2506,-75.833,48.58,73,0,5.75,US,1713244003
124,odacho-oda,35.1833,132.5,70.57,88,13,9.08,JP,1713243920
125,tosontsengel,48.7567,98.2839,52.52,29,1,10.22,MN,1713243781
126,hermanus,-34.4187,19.2345,61.81,91,27,8.79,ZA,1713243934
127,afaahiti,-17.75,-149.2833,82.27,83,100,18.39,PF,1713244004
128,tiksi,71.6872,128.8694,29.05,80,100,15.61,RU,1713244004
129,mount isa,-20.7333,139.5,91.17,31,20,8.05,AU,1713244004
130,dalbandin,28.8947,64.4101,72.12,26,100,11.36,PK,1713243946
131,port saint john's,-31.6229,29.5448,69.57,91,96,12.21,ZA,1713244004
132,finote selam,10.7,37.2667,74.34,22,88,1.48,ET,1713244004
133,saldanha,-33.0117,17.9442,60.87,75,0,2.08,ZA,1713244004
134,haiku-pauwela,20.9219,-156.3051,74.05,81,20,5.99,US,1713244004
135,talara,-4.5772,-81.2719,73.71,72,87,13.11,PE,1713243928
136,burley,42.5357,-113.7928,49.19,54,0,18.41,US,1713244004
137,lubao,14.9167,120.55,98.31,32,1,9.57,PH,1713244005
138,katsuura,35.1333,140.3,64.54,75,100,18.66,JP,1713243909
139,avarua,-21.2078,-159.775,78.85,73,20,6.91,CK,1713244005
140,puerto aysen,-45.4,-72.7,52.68,95,100,4.63,CL,1713243809
141,bubaque,11.2833,-15.8333,76.3,74,1,9.17,GW,1713244005
142,ouesso,1.6136,16.0517,71.22,98,44,2.59,CG,1713244005
143,punta arenas,-53.15,-70.9167,46.51,87,40,6.91,CL,1713243747
144,papatowai,-46.5619,169.4708,49.32,92,98,4.07,NZ,1713243738
145,imperatriz,-5.5264,-47.4917,74.17,98,33,2.06,BR,1713244005
146,mandera,3.9366,41.867,81.97,67,63,14.61,KE,1713243739
147,antsiranana,-12.2787,49.2917,79.56,73,40,11.5,MG,1713243757
148,karonga,-9.9333,33.9333,73.96,81,63,5.68,MW,1713244005
149,luena,-11.7833,19.9167,64.38,95,82,3.42,AO,1713244005
150,port pirie,-33.1833,138.0167,73.02,42,0,15.57,AU,1713243765
151,enoch,37.7733,-113.0244,38.48,86,0,5.75,US,1713244006
152,padang,-0.9492,100.3543,89.65,83,54,3.89,ID,1713243940
153,carnarvon,-24.8667,113.6333,83.37,41,97,11.05,AU,1713244006
154,sur,22.5667,59.5289,81.66,67,98,11.95,OM,1713243861
155,hanceville,34.0607,-86.7675,63.52,78,89,2.53,US,1713243955
156,qamdo,31.1667,97.2333,50.11,28,32,4.72,CN,1713244006
157,san antonio de pale,-1.4014,5.6325,81.5,82,100,10.33,GQ,1713244006
158,slavyanka,42.8633,131.3847,42.39,98,100,4.92,RU,1713244006
159,ola,59.5833,151.2833,26.15,81,100,2.37,RU,1713243744
160,xining,36.6167,101.7667,62.11,21,100,2.13,CN,1713243855
161,coahuayana de hidalgo,18.7,-103.6583,72.57,81,92,2.66,MX,1713244006
162,qaqortoq,60.7167,-46.0333,32.41,99,100,5.28,GL,1713244006
163,majie,25.0333,102.6361,77.49,22,2,16.84,CN,1713244006
164,karpinsk,59.7654,60.0085,37.08,93,100,8.19,RU,1713243893
165,san juan de miraflores,-12.1629,-76.9635,70.18,81,89,5.75,PE,1713244007
166,puerto armuelles,8.2833,-82.8667,85.08,52,23,1.01,PA,1713243753
167,luderitz,-26.6481,15.1594,56.44,74,0,5.53,NA,1713243781
168,new norfolk,-42.7826,147.0587,60.93,54,100,2.93,AU,1713244007
169,vizinga,61.0749,50.1031,37.24,96,100,12.55,RU,1713244007
170,likiep,9.8251,169.3107,81.19,82,27,17.96,MH,1713244007
171,balabac,7.9868,117.0645,87.42,64,17,13.11,PH,1713244007
172,alice springs,-23.7,133.8833,80.15,17,2,14.97,AU,1713243757
173,tomohon,1.3346,124.8392,85.14,54,25,3.76,ID,1713243865
174,kodiak,57.79,-152.4072,36.66,73,32,14.36,US,1713243769
175,usinsk,65.9939,57.5281,28.08,93,90,5.99,RU,1713244007
176,mirnyy,62.5353,113.9611,33.24,100,100,5.01,RU,1713243910
177,battenberg,51.0167,8.65,39.61,84,83,14.79,DE,1713244008
178,campo gallo,-26.5833,-62.85,57.43,83,0,3.74,AR,1713244008
179,bandarbeyla,9.4942,50.8122,84.27,67,89,10.87,SO,1713244008
180,kargasok,59.0556,80.8572,27.97,61,8,4.0,RU,1713244008
181,yreka,41.7354,-122.6345,47.3,74,0,11.5,US,1713244008
